date,sales,price,inventory,is_weekend,promotion_text
2024-01-01,135.35648853722435,87.45401188473625,212,0,满200减30
2024-01-02,178.23669898618581,145.07143064099162,286,0,全场8折
2024-01-03,166.2633644941469,123.1993941811405,906,0,限时秒杀
2024-01-04,123.79115629804707,109.86584841970367,843,0,新品上市
2024-01-05,95.94173189315308,65.60186404424365,326,0,满200减30
2024-01-06,126.62378288508259,65.59945203362027,409,1,无活动
2024-01-07,175.03971478719058,55.80836121681995,197,1,全场8折
2024-01-08,163.06375794461795,136.6176145774935,154,0,满200减30
2024-01-09,107.0441789588472,110.11150117432088,722,0,无活动
2024-01-10,142.34046493044502,120.80725777960456,763,0,满200减30
2024-01-11,169.23023872508907,52.05844942958024,857,0,新品上市
2024-01-12,118.13398860013997,146.99098521619942,505,0,新品上市
2024-01-13,133.92920983720035,133.24426408004217,168,1,新品上市
2024-01-14,129.14424655782386,71.23391106782762,411,1,全场8折
2024-01-15,85.91369585233738,68.18249672071006,388,0,新品上市
2024-01-16,112.56879924733815,68.34045098534338,861,0,无活动
2024-01-17,150.32877279731275,80.42422429595376,647,0,满200减30
2024-01-18,163.2950855841941,102.4756431632238,850,0,限时秒杀
2024-01-19,121.51188294181833,93.19450186421157,247,0,无活动
2024-01-20,148.77923255094174,79.1229140198042,566,1,无活动
2024-01-21,158.2023335319473,111.18528947223794,838,1,新品上市
2024-01-22,145.72793763516012,63.94938606520418,343,0,全场8折
2024-01-23,181.39275602538424,79.21446485352182,590,0,满200减30
2024-01-24,154.15333280781115,86.63618432936917,948,0,全场8折
2024-01-25,137.75253378713728,95.6069984217036,606,0,满200减30
2024-01-26,169.06322918224262,128.51759613930136,464,0,满200减30
2024-01-27,167.39480253500614,69.96737821583598,581,1,全场8折
2024-01-28,133.19881784161115,101.42344384136116,300,1,无活动
2024-01-29,190.47575100846015,109.24145688620425,253,0,满200减30
2024-01-30,166.00447548640994,54.64504127199977,549,0,全场8折
2024-01-31,194.76381245989364,110.75448519014384,600,0,满200减30
2024-02-01,206.473839097532,67.05241236872915,172,0,限时秒杀
2024-02-02,114.94207903597291,56.50515929852795,812,0,无活动
2024-02-03,152.2650174078378,144.88855372533334,395,1,新品上市
2024-02-04,131.90331791950203,146.56320330745592,116,1,满200减30
2024-02-05,198.56126606592255,130.8397348116461,740,0,限时秒杀
2024-02-06,172.87076684362643,80.46137691733708,316,0,新品上市
2024-02-07,163.02337402243575,59.76721140063839,160,0,新品上市
2024-02-08,173.03266095233553,118.42330265121569,715,0,满200减30
2024-02-09,179.76953670861468,94.01524937396013,141,0,全场8折
2024-02-10,165.5984115625226,62.20382348447788,124,1,满200减30
2024-02-11,230.88717479518647,99.51769101112703,138,1,限时秒杀
2024-02-12,164.93020587324386,53.43885211152184,902,0,新品上市
2024-02-13,124.79034990115092,140.9320402078782,230,0,满200减30
2024-02-14,183.76915257315963,75.8779981600017,597,0,全场8折
2024-02-15,181.576796439484,116.2522284353982,328,0,满200减30
2024-02-16,137.29908370488099,81.1711076089411,207,0,无活动
2024-02-17,215.93898252711705,102.00680211778108,271,1,全场8折
2024-02-18,206.51229581837399,104.67102793432797,534,1,限时秒杀
2024-02-19,183.1019186241111,68.4854455525527,577,0,新品上市
2024-02-20,154.35015370238062,146.95846277645586,201,0,满200减30
2024-02-21,179.3740035945811,127.51328233611146,965,0,全场8折
2024-02-22,135.4652509332114,143.9498941564189,623,0,无活动
2024-02-23,189.95518399441647,139.4827350427649,374,0,全场8折
2024-02-24,146.53813307889806,109.78999788110852,712,1,无活动
